R Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<0|V|7> Re<0|V|8> Re<0|V|9> Re<0|V|10> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<1|V|7> Re<1|V|8> Re<1|V|9> Re<1|V|10> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<2|V|7> Re<2|V|8> Re<2|V|9> Re<2|V|10> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<3|V|7> Re<3|V|8> Re<3|V|9> Re<3|V|10> Re<4|V|5> Re<4|V|6> Re<4|V|7> Re<4|V|8> Re<4|V|9> Re<4|V|10> Re<5|V|6> Re<5|V|7> Re<5|V|8> Re<5|V|9> Re<5|V|10> Re<6|V|7> Re<6|V|8> Re<6|V|9> Re<6|V|10> Re<7|V|8> Re<7|V|9> Re<7|V|10> Re<8|V|9> Re<8|V|10> Re<9|V|10>
2.070000 0.118533 1.666026 1.692076 0.606046 -0.760630 -0.645093 1.051129 0.109902 0.081976 1.481341 1.515337 0.573462 -0.623486 -0.596794 1.044271 -0.014819 0.058890 0.766933 0.817947 0.381780 -0.298593 -0.225023 0.511833 0.061331 0.036717 0.008620 -0.017674 0.026876 0.018805 -0.029651 -0.002548 -0.026782 0.103234 0.164971 0.081828 0.149688 -0.173105 -0.153323 -0.047939 -0.124617 -0.051523 -0.033016 0.000270 -0.088924 -0.138621 0.085550 -0.170971 0.084711 -0.109507 -0.002023 -0.087511 0.139594
2.080000 0.112752 1.717501 1.745294 0.627198 -0.782062 -0.664550 1.086936 0.112304 0.077476 1.528804 1.564099 0.591794 -0.644566 -0.613980 1.073764 -0.009353 0.056088 0.791717 0.841948 0.388912 -0.310705 -0.236368 0.528457 0.062220 0.037357 0.008808 -0.017982 0.027379 0.019133 -0.030202 -0.002593 -0.027253 0.105053 0.167856 0.083273 0.152309 -0.176124 -0.156193 -0.048772 -0.126991 -0.052414 -0.033752 0.000444 -0.090488 -0.141209 0.087038 -0.174137 0.086207 -0.111566 -0.002227 -0.089044 0.142176
2.090000 0.106979 1.745637 1.774573 0.639265 -0.793340 -0.675069 1.107198 0.113540 0.072968 1.555093 1.591171 0.601940 -0.656460 -0.623104 1.089284 -0.005002 0.053291 0.805489 0.854775 0.391835 -0.317953 -0.243481 0.537729 0.062563 0.037975 0.008995 -0.018279 0.027871 0.019450 -0.030739 -0.002637 -0.027707 0.106811 0.170641 0.084670 0.154838 -0.179036 -0.158992 -0.049576 -0.129313 -0.053273 -0.034487 0.000638 -0.092000 -0.143733 0.088473 -0.177221 0.087654 -0.113576 -0.002450 -0.090525 0.144689
2.100000 0.101249 1.747984 1.777410 0.641302 -0.793398 -0.675717 1.110295 0.113476 0.068487 1.557997 1.594287 0.603041 -0.658199 -0.623321 1.089358 -0.001887 0.050515 0.807102 0.855241 0.390103 -0.319845 -0.245921 0.538894 0.062298 0.038567 0.009180 -0.018565 0.028348 0.019755 -0.031260 -0.002680 -0.028144 0.108501 0.173315 0.086013 0.157268 -0.181832 -0.161711 -0.050347 -0.131574 -0.054096 -0.035219 0.000852 -0.093454 -0.146184 0.089850 -0.180212 0.089047 -0.115531 -0.002693 -0.091947 0.147126
2.150000 0.074734 1.431352 1.454953 0.523787 -0.650897 -0.553362 0.907208 0.096329 0.047813 1.274837 1.304910 0.493371 -0.537537 -0.511005 0.893074 -0.002404 0.037659 0.660372 0.700114 0.322226 -0.261150 -0.198574 0.441577 0.053099 0.041084 0.010073 -0.019778 0.030474 0.021048 -0.033568 -0.002863 -0.030009 0.115733 0.184697 0.091771 0.167617 -0.193706 -0.173805 -0.053616 -0.141738 -0.057570 -0.038774 0.002230 -0.099667 -0.157069 0.095690 -0.193430 0.095014 -0.124248 -0.004191 -0.098008 0.157885
2.200000 0.054056 1.020795 1.035943 0.369270 -0.467846 -0.395160 0.640997 0.073764 0.032111 0.906120 0.927721 0.350673 -0.379725 -0.366508 0.641188 -0.009199 0.027575 0.469086 0.500526 0.238177 -0.182106 -0.133530 0.314285 0.041417 0.042693 0.010860 -0.020555 0.032036 0.021878 -0.035241 -0.002987 -0.031222 0.120467 0.192023 0.095557 0.174295 -0.201302 -0.182672 -0.055692 -0.149400 -0.059750 -0.041974 0.004087 -0.103722 -0.165021 0.099403 -0.202954 0.098944 -0.130689 -0.006127 -0.101927 0.165617
2.250000 0.039001 0.610398 0.616960 0.214378 -0.285269 -0.237207 0.374317 0.050596 0.021213 0.537287 0.550222 0.207933 -0.221724 -0.222339 0.390061 -0.017823 0.020163 0.277685 0.301470 0.155008 -0.102359 -0.067757 0.186736 0.029509 0.043255 0.011482 -0.020828 0.032907 0.022173 -0.036142 -0.003041 -0.031679 0.122298 0.194665 0.097048 0.176727 -0.203963 -0.187587 -0.056397 -0.153937 -0.060445 -0.044575 0.006297 -0.105273 -0.169386 0.100671 -0.208000 0.100501 -0.134329 -0.008365 -0.103367 0.169683
2.300000 0.027714 0.400715 0.403503 0.136917 -0.190498 -0.156194 0.240398 0.037412 0.013464 0.349985 0.358438 0.135464 -0.142493 -0.147813 0.260033 -0.018608 0.014545 0.180593 0.199346 0.109184 -0.063196 -0.037344 0.121722 0.022350 0.042767 0.011890 -0.020596 0.033041 0.021931 -0.036225 -0.003022 -0.031374 0.121195 0.192599 0.096217 0.174891 -0.201677 -0.188294 -0.055729 -0.155092 -0.059660 -0.046375 0.008650 -0.104295 -0.169941 0.099490 -0.208325 0.099654 -0.134973 -0.010696 -0.102312 0.169891
2.350000 0.018932 0.272267 0.273282 0.090663 -0.131516 -0.106456 0.160008 0.028343 0.007739 0.236178 0.241758 0.091385 -0.094954 -0.101568 0.179260 -0.016772 0.010127 0.121674 0.136503 0.078871 -0.040298 -0.020861 0.082051 0.017176 0.041367 0.012064 -0.019926 0.032488 0.021221 -0.035553 -0.002940 -0.030401 0.117518 0.186431 0.093344 0.169330 -0.195091 -0.185086 -0.053872 -0.153042 -0.057601 -0.047267 0.010903 -0.101100 -0.166960 0.096186 -0.204301 0.096692 -0.132814 -0.012884 -0.099079 0.166551
2.400000 0.011875 0.190050 0.190467 0.062089 -0.093061 -0.074599 0.109955 0.021728 0.003355 0.164217 0.167799 0.063433 -0.065321 -0.071473 0.126655 -0.013730 0.006541 0.084486 0.096018 0.057630 -0.026584 -0.012062 0.056848 0.013204 0.039300 0.012015 -0.018933 0.031385 0.020169 -0.034282 -0.002810 -0.028935 0.111930 0.177247 0.088951 0.161029 -0.185356 -0.178745 -0.051147 -0.148372 -0.054616 -0.047278 0.012855 -0.096263 -0.161157 0.091332 -0.196842 0.092155 -0.128400 -0.014738 -0.094242 0.160413
2.450000 0.006080 0.134704 0.135225 0.043713 -0.066670 -0.053196 0.077413 0.016637 -0.000090 0.116574 0.118646 0.044825 -0.045981 -0.050817 0.090539 -0.010238 0.003568 0.059925 0.068531 0.041882 -0.018138 -0.007517 0.040089 0.009996 0.036859 0.011789 -0.017760 0.029924 0.018924 -0.032628 -0.002650 -0.027189 0.105246 0.166365 0.083682 0.151180 -0.173859 -0.170373 -0.047941 -0.141952 -0.051125 -0.046568 0.014400 -0.090487 -0.153533 0.085617 -0.187199 0.086709 -0.122513 -0.016167 -0.088497 0.152502
2.500000 0.001254 0.095650 0.096698 0.031442 -0.047697 -0.038172 0.055374 0.012554 -0.002842 0.083652 0.084500 0.031861 -0.032785 -0.035926 0.064516 -0.006680 0.001067 0.043002 0.048927 0.029648 -0.012823 -0.005369 0.028472 0.007307 0.034333 0.011454 -0.016546 0.028318 0.017634 -0.030824 -0.002483 -0.025371 0.098277 0.155077 0.078178 0.140957 -0.161956 -0.161181 -0.044627 -0.134768 -0.047531 -0.045403 0.015546 -0.084470 -0.145181 0.079709 -0.176720 0.081019 -0.116016 -0.017194 -0.082530 0.143917
2.550000 -0.002801 0.066919 0.068746 0.022967 -0.033503 -0.027214 0.039887 0.009180 -0.005066 0.060019 0.059827 0.022452 -0.023402 -0.024726 0.044966 -0.003251 -0.001054 0.030897 0.034322 0.019795 -0.009435 -0.004592 0.020124 0.004997 0.031961 0.011091 -0.015405 0.026763 0.016422 -0.029085 -0.002324 -0.023659 0.091706 0.144465 0.072986 0.131342 -0.150777 -0.152290 -0.041519 -0.127755 -0.044166 -0.044098 0.016400 -0.078800 -0.137111 0.074166 -0.166634 0.075649 -0.109717 -0.017934 -0.076916 0.135660
2.600000 -0.006227 0.045002 0.047752 0.016931 -0.022524 -0.018952 0.028631 0.006333 -0.006875 0.042473 0.041368 0.015374 -0.016473 -0.015995 0.029755 -0.000047 -0.002863 0.021945 0.023024 0.011645 -0.007263 -0.004594 0.013938 0.002979 0.029914 0.010775 -0.014421 0.025419 0.015376 -0.027582 -0.002187 -0.022183 0.086037 0.135310 0.068506 0.123047 -0.141133 -0.144608 -0.038837 -0.121694 -0.041263 -0.042962 0.017126 -0.073908 -0.130139 0.069384 -0.157921 0.071015 -0.104273 -0.018563 -0.072072 0.128529
2.650000 -0.009132 0.027753 0.031494 0.012504 -0.013794 -0.012542 0.020189 0.003898 -0.008353 0.029047 0.027129 0.009879 -0.011168 -0.008983 0.017567 0.002888 -0.004412 0.015124 0.013997 0.004769 -0.005876 -0.005025 0.009231 0.001198 0.028297 0.010572 -0.013644 0.024401 0.014550 -0.026438 -0.002080 -0.021020 0.081582 0.128087 0.064989 0.116506 -0.133515 -0.138782 -0.036716 -0.117154 -0.038960 -0.042263 0.017909 -0.070060 -0.124843 0.065601 -0.151268 0.067378 -0.100159 -0.019270 -0.068255 0.123077
2.700000 -0.011599 0.013804 0.018558 0.009160 -0.006692 -0.007444 0.013663 0.001800 -0.009565 0.018489 0.015840 0.005492 -0.006968 -0.003210 0.007562 0.005538 -0.005741 0.009783 0.006584 -0.001111 -0.005000 -0.005671 0.005567 -0.000382 0.027156 0.010531 -0.013096 0.023779 0.013969 -0.025723 -0.002007 -0.020209 0.078489 0.123014 0.062557 0.111919 -0.128139 -0.135208 -0.035212 -0.114501 -0.037315 -0.042210 0.018924 -0.067384 -0.121576 0.062922 -0.147081 0.064866 -0.097666 -0.020231 -0.065581 0.119634
2.750000 -0.013693 0.002257 0.008016 0.006559 -0.000806 -0.003300 0.008468 -0.000016 -0.010559 0.009978 0.006667 0.001900 -0.003533 0.001640 -0.000817 0.007898 -0.006880 0.005497 0.000350 -0.006187 -0.004460 -0.006396 0.002658 -0.001787 0.026493 0.010688 -0.012778 0.023587 0.013634 -0.025473 -0.001971 -0.019756 0.076786 0.120111 0.061233 0.109308 -0.125023 -0.134078 -0.034328 -0.113929 -0.036326 -0.042950 0.020326 -0.065900 -0.120504 0.061352 -0.145544 0.063503 -0.096942 -0.021602 -0.064066 0.118345
2.800000 -0.015467 -0.007498 -0.000763 0.004471 0.004145 0.000131 0.004212 -0.001586 -0.011377 0.002959 -0.000951 -0.001108 -0.000635 0.005783 -0.007949 0.009973 -0.007857 0.001977 -0.004998 -0.010593 -0.004138 -0.007113 0.000310 -0.003036 0.026284 0.011064 -0.012680 0.023834 0.013533 -0.025692 -0.001969 -0.019644 0.076416 0.119272 0.060974 0.108577 -0.124046 -0.135437 -0.034030 -0.115505 -0.035951 -0.044584 0.022242 -0.065558 -0.121664 0.060828 -0.146681 0.063246 -0.098025 -0.023509 -0.063654 0.119226
2.850000 -0.016965 -0.015883 -0.008213 0.002740 0.008360 0.003018 0.000625 -0.002938 -0.012050 -0.002953 -0.007404 -0.003678 0.001881 0.009369 -0.014103 0.011771 -0.008690 -0.000976 -0.009668 -0.014426 -0.003956 -0.007765 -0.001611 -0.004141 0.026485 0.011674 -0.012780 0.024509 0.013644 -0.026369 -0.001999 -0.019845 0.077271 0.120311 0.061699 0.109561 -0.125010 -0.139232 -0.034260 -0.119214 -0.036126 -0.047175 0.024780 -0.066264 -0.125005 0.061249 -0.150413 0.064010 -0.100884 -0.026059 -0.064250 0.122212
2.900000 -0.018222 -0.023200 -0.014642 0.001257 0.011980 0.005481 -0.002481 -0.004094 -0.012603 -0.008025 -0.012966 -0.005916 0.004126 0.012505 -0.019470 0.013301 -0.009397 -0.003502 -0.013807 -0.017757 -0.003863 -0.008315 -0.003199 -0.005112 0.027045 0.012527 -0.013054 0.025597 0.013942 -0.027480 -0.002060 -0.020324 0.079219 0.123005 0.063302 0.112057 -0.127673 -0.145359 -0.034950 -0.124994 -0.036775 -0.050767 0.028034 -0.067903 -0.130429 0.062495 -0.156605 0.065688 -0.105451 -0.029341 -0.065735 0.127189
3.000000 -0.020122 -0.035445 -0.025267 -0.001245 0.017827 0.009457 -0.007744 -0.005882 -0.013428 -0.016376 -0.022149 -0.009674 0.008092 0.017723 -0.028375 0.015600 -0.010483 -0.007643 -0.020900 -0.023119 -0.003812 -0.009012 -0.005627 -0.006677 0.029026 0.014983 -0.014019 0.028916 0.014986 -0.030897 -0.002256 -0.021961 0.085812 0.132384 0.068692 0.120712 -0.137065 -0.164077 -0.037419 -0.142414 -0.039176 -0.061069 0.037017 -0.073474 -0.147032 0.066943 -0.175710 0.071319 -0.119345 -0.038424 -0.070867 0.142570
3.100000 -0.021341 -0.045377 -0.033797 -0.003421 0.022250 0.012517 -0.012249 -0.007057 -0.013971 -0.023100 -0.029518 -0.012786 0.011659 0.021848 -0.035426 0.016952 -0.011197 -0.010964 -0.026854 -0.026988 -0.003820 -0.009091 -0.007324 -0.007770 0.031788 0.018454 -0.015365 0.033588 0.016442 -0.035704 -0.002531 -0.024248 0.095028 0.145472 0.076230 0.132792 -0.150160 -0.190425 -0.040860 -0.166959 -0.042513 -0.075639 0.049758 -0.081260 -0.170401 0.073139 -0.202585 0.079194 -0.138910 -0.051304 -0.078032 0.164203
3.200000 -0.022001 -0.053631 -0.040880 -0.005463 0.025592 0.014930 -0.016345 -0.007708 -0.014305 -0.028752 -0.035632 -0.015477 0.015023 0.025105 -0.041074 0.017443 -0.011591 -0.013752 -0.031994 -0.029561 -0.003815 -0.008514 -0.008489 -0.008409 0.034902 0.022902 -0.016886 0.039358 0.018091 -0.041611 -0.002858 -0.026878 0.105695 0.160358 0.084991 0.146568 -0.164939 -0.222934 -0.044708 -0.197503 -0.046175 -0.094352 0.066528 -0.090247 -0.199197 0.080081 -0.235536 0.088358 -0.163111 -0.068232 -0.086220 0.190700
3.300000 -0.022193 -0.060563 -0.046890 -0.007466 0.028080 0.016864 -0.020200 -0.007917 -0.014477 -0.033655 -0.040806 -0.017880 0.018261 0.027624 -0.045593 0.017166 -0.011703 -0.016173 -0.036491 -0.030980 -0.003761 -0.007292 -0.009256 -0.008610 0.037946 0.028119 -0.018378 0.045813 0.019716 -0.048180 -0.003202 -0.029534 0.116571 0.175122 0.093983 0.160291 -0.179414 -0.259274 -0.048420 -0.232030 -0.049590 -0.116362 0.086833 -0.099372 -0.231330 0.086796 -0.272063 0.097780 -0.190255 -0.088695 -0.094407 0.220030
3.400000 -0.021987 -0.066365 -0.052048 -0.009469 0.029882 0.018436 -0.023880 -0.007768 -0.014510 -0.037997 -0.045228 -0.020062 0.021370 0.029479 -0.049154 0.016229 -0.011566 -0.018325 -0.040409 -0.031374 -0.003629 -0.005484 -0.009736 -0.008396 0.040518 0.033574 -0.019644 0.052252 0.021105 -0.054685 -0.003525 -0.031878 0.126298 0.187847 0.102093 0.172189 -0.191670 -0.295476 -0.051494 -0.266833 -0.052276 -0.139444 0.108711 -0.107487 -0.263282 0.092380 -0.308124 0.106299 -0.217393 -0.110708 -0.101538 0.248942
3.500000 -0.021445 -0.071134 -0.056486 -0.011472 0.031134 0.019736 -0.027389 -0.007351 -0.014415 -0.041891 -0.049017 -0.022041 0.024287 0.030732 -0.051862 0.014763 -0.011213 -0.020272 -0.043732 -0.030892 -0.003376 -0.003204 -0.010046 -0.007818 0.042273 0.038330 -0.020514 0.057615 0.022067 -0.060067 -0.003775 -0.033578 0.133465 0.196777 0.108132 0.180606 -0.200058 -0.325599 -0.053530 -0.296133 -0.053911 -0.159618 0.128295 -0.113426 -0.289820 0.096102 -0.337859 0.112661 -0.240056 -0.130388 -0.106617 0.272744
3.600000 -0.020624 -0.074915 -0.060280 -0.013455 0.031951 0.020828 -0.030691 -0.006754 -0.014191 -0.045397 -0.052259 -0.023791 0.026911 0.031454 -0.053779 0.012930 -0.010683 -0.022050 -0.046389 -0.029726 -0.002945 -0.000635 -0.010308 -0.006973 0.042983 0.041223 -0.020872 0.060694 0.022471 -0.063129 -0.003905 -0.034359 0.136863 0.200624 0.111051 0.184294 -0.203478 -0.342871 -0.054298 -0.313193 -0.054388 -0.171927 0.140584 -0.116206 -0.304998 0.097527 -0.354698 0.115751 -0.253112 -0.142717 -0.108871 0.286194
3.700000 -0.019576 -0.077732 -0.063470 -0.015380 0.032427 0.021763 -0.033729 -0.006065 -0.013828 -0.048537 -0.055014 -0.025253 0.029133 0.031737 -0.054949 0.010906 -0.010024 -0.023676 -0.048294 -0.028109 -0.002280 0.001991 -0.010631 -0.005998 0.042576 0.041401 -0.020677 0.060653 0.022266 -0.063051 -0.003885 -0.034088 0.135859 0.198859 0.110277 0.182713 -0.201565 -0.342609 -0.053750 -0.313284 -0.053764 -0.172734 0.141816 -0.115326 -0.304717 0.096555 -0.354162 0.114957 -0.252997 -0.143930 -0.107957 0.285727
3.800000 -0.018349 -0.079606 -0.066069 -0.017203 0.032637 0.022567 -0.036438 -0.005355 -0.013320 -0.051306 -0.057312 -0.026364 0.030867 0.031672 -0.055419 0.008858 -0.009286 -0.025150 -0.049393 -0.026271 -0.001356 0.004449 -0.011086 -0.005030 0.041128 0.038859 -0.019967 0.057526 0.021492 -0.059872 -0.003719 -0.032819 0.130656 0.191824 0.105971 0.176170 -0.194680 -0.325008 -0.051989 -0.296537 -0.052152 -0.162006 0.131885 -0.110963 -0.289157 0.093367 -0.336490 0.110444 -0.239844 -0.133925 -0.104052 0.271539
3.900000 -0.016986 -0.080565 -0.068078 -0.018879 0.032631 0.023252 -0.038762 -0.004678 -0.012666 -0.053681 -0.059150 -0.027086 0.032068 0.031335 -0.055247 0.006911 -0.008504 -0.026457 -0.049692 -0.024385 -0.000197 0.006578 -0.011687 -0.004168 0.038831 0.034425 -0.018839 0.052188 0.020259 -0.054461 -0.003445 -0.030768 0.122195 0.180566 0.098944 0.165673 -0.183748 -0.294977 -0.049218 -0.267810 -0.049670 -0.143267 0.114319 -0.103886 -0.262630 0.088344 -0.306460 0.103070 -0.217366 -0.116239 -0.097774 0.247447
4.000000 -0.015523 -0.080654 -0.069490 -0.020367 0.032439 0.023814 -0.040656 -0.004067 -0.011875 -0.055629 -0.060508 -0.027413 0.032738 0.030771 -0.054503 0.005136 -0.007705 -0.027573 -0.049254 -0.022548 0.001133 0.008300 -0.012401 -0.003456 0.035944 0.029219 -0.017423 0.045823 0.018714 -0.047996 -0.003110 -0.028225 0.111750 0.166506 0.090291 0.152587 -0.170018 -0.259156 -0.045714 -0.233676 -0.046482 -0.121284 0.093894 -0.095134 -0.230971 0.081999 -0.270537 0.093998 -0.190586 -0.095664 -0.089959 0.218612
4.100000 -0.013991 -0.079927 -0.070300 -0.021634 0.032077 0.024243 -0.042091 -0.003536 -0.010966 -0.057119 -0.061358 -0.027369 0.032910 0.030004 -0.053259 0.003563 -0.006902 -0.028475 -0.048173 -0.020798 0.002554 0.009610 -0.013169 -0.002894 0.032740 0.024130 -0.015856 0.039405 0.017009 -0.041450 -0.002759 -0.025469 0.100510 0.151064 0.081025 0.138262 -0.154796 -0.223013 -0.041784 -0.199490 -0.042812 -0.099835 0.074328 -0.085687 -0.198990 0.074899 -0.234084 0.084295 -0.163625 -0.075934 -0.081427 0.189324
4.200000 -0.012417 -0.078453 -0.070512 -0.022660 0.031551 0.024524 -0.043059 -0.003089 -0.009960 -0.058128 -0.061687 -0.026993 0.032634 0.029049 -0.051585 0.002190 -0.006102 -0.029142 -0.046555 -0.019136 0.003990 0.010538 -0.013931 -0.002460 0.029457 0.019638 -0.014253 0.033507 0.015273 -0.035401 -0.002421 -0.022715 0.089364 0.135415 0.071883 0.123792 -0.139215 -0.189773 -0.037715 -0.168348 -0.038913 -0.080952 0.057538 -0.076288 -0.169534 0.067562 -0.200321 0.074737 -0.138901 -0.058977 -0.072833 0.162165
4.300000 -0.010823 -0.076307 -0.070144 -0.023436 0.030863 0.024648 -0.043567 -0.002718 -0.008883 -0.058648 -0.061493 -0.026327 0.031968 0.027921 -0.049545 0.001006 -0.005309 -0.029565 -0.044497 -0.017551 0.005381 0.011133 -0.014637 -0.002128 0.026270 0.015898 -0.012702 0.028366 0.013597 -0.030097 -0.002111 -0.020102 0.078867 0.120378 0.063316 0.109931 -0.124113 -0.160766 -0.033730 -0.141455 -0.035011 -0.065278 0.044035 -0.067407 -0.143789 0.060390 -0.170632 0.065792 -0.117394 -0.045314 -0.064621 0.138252
