R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<4|V|5> Re<4|V|6> Re<5|V|6>
3.10 39.07 -10.84 -11.41 -14.22 -6.37 -12.83 8.77 9.29 2.24 -18.67 -13.11 157.33 72.19 507.90 342.90 -117.67 48.54 -484.27 507.14 597.25 627.21
3.20 41.40 -10.18 -10.43 -13.54 -5.68 -12.13 8.18 9.01 1.92 -17.25 -12.37 156.30 64.88 497.12 328.77 -120.54 52.39 -476.92 486.01 571.06 604.59
3.30 41.44 -9.50 -9.46 -12.81 -5.03 -11.38 7.60 8.67 1.63 -15.84 -11.61 155.07 56.80 484.85 312.91 -121.36 54.13 -468.65 464.51 542.10 579.07
3.40 39.98 -8.84 -8.52 -12.04 -4.42 -10.62 7.05 8.27 1.35 -14.44 -10.83 153.57 48.19 471.28 295.79 -120.70 54.36 -459.44 442.56 511.16 551.48
3.50 37.66 -8.19 -7.60 -11.27 -3.85 -9.84 6.52 7.83 1.08 -13.09 -10.05 151.81 39.28 456.60 277.78 -118.92 53.55 -449.26 420.21 479.00 522.53
3.60 34.90 -7.55 -6.74 -10.48 -3.33 -9.05 6.01 7.36 0.86 -11.79 -9.27 149.72 30.30 440.93 259.21 -116.20 51.96 -438.09 397.53 446.32 492.87
3.70 31.91 -6.94 -5.92 -9.68 -2.85 -8.28 5.53 6.86 0.63 -10.56 -8.51 147.28 21.43 424.41 240.44 -112.85 49.89 -425.94 374.73 413.69 463.05
3.80 28.82 -6.35 -5.17 -8.90 -2.42 -7.52 5.07 6.37 0.44 -9.40 -7.77 144.50 12.85 407.20 221.69 -108.88 47.42 -412.83 351.96 381.64 433.50
3.90 25.75 -5.79 -4.48 -8.16 -2.03 -6.81 4.65 5.89 0.28 -8.33 -7.06 141.33 4.69 389.39 203.29 -104.51 44.79 -398.80 329.44 350.53 404.58
4.00 22.64 -5.27 -3.84 -7.42 -1.69 -6.12 4.25 5.39 0.13 -7.34 -6.37 137.76 -2.88 371.11 185.40 -99.83 42.07 -383.89 307.30 320.68 376.57
4.10 19.90 -4.76 -3.46 -6.60 -1.53 -5.49 3.86 4.81 0.11 -6.55 -5.74 133.81 -9.80 352.51 168.18 -94.77 39.24 -368.19 285.65 292.34 349.67
4.20 17.40 -4.30 -3.21 -5.72 -1.48 -4.88 3.52 4.16 0.17 -5.88 -5.15 129.46 -15.97 333.66 151.76 -89.49 36.40 -351.76 264.65 265.64 323.99
4.30 15.22 -3.86 -2.97 -4.95 -1.41 -4.33 3.18 3.60 0.22 -5.26 -4.59 124.77 -21.36 314.71 136.24 -83.98 33.55 -334.76 244.34 240.65 299.62
4.40 13.18 -3.45 -2.72 -4.26 -1.34 -3.83 2.87 3.09 0.24 -4.69 -4.08 119.73 -25.91 295.78 121.70 -78.41 30.84 -317.27 224.89 217.44 276.57
4.50 11.37 -3.07 -2.48 -3.66 -1.26 -3.36 2.57 2.64 0.26 -4.16 -3.61 114.40 -29.64 276.99 108.21 -72.81 28.21 -299.48 206.34 195.98 254.87
4.60 9.76 -2.73 -2.25 -3.12 -1.18 -2.94 2.30 2.25 0.27 -3.67 -3.18 108.83 -32.54 258.47 95.75 -67.27 25.74 -281.53 188.75 176.25 234.46
4.70 8.38 -2.41 -2.03 -2.64 -1.08 -2.55 2.05 1.91 0.27 -3.23 -2.79 103.07 -34.68 240.31 84.40 -61.83 23.41 -263.57 172.17 158.19 215.35
4.80 7.19 -2.12 -1.83 -2.24 -0.99 -2.23 1.82 1.61 0.27 -2.84 -2.44 97.17 -36.06 222.66 74.12 -56.55 21.23 -245.74 156.61 141.72 197.46
4.90 6.15 -1.85 -1.64 -1.88 -0.90 -1.91 1.60 1.36 0.26 -2.48 -2.12 91.21 -36.78 205.60 64.86 -51.47 19.21 -228.26 142.09 126.80 180.79
5.00 5.27 -1.62 -1.46 -1.58 -0.83 -1.66 1.41 1.13 0.25 -2.16 -1.85 85.27 -36.96 189.20 56.62 -46.66 17.34 -211.21 128.83 113.09 165.03
5.10 4.52 -1.42 -1.30 -1.32 -0.74 -1.42 1.24 0.94 0.24 -1.89 -1.59 79.38 -36.58 173.60 49.28 -42.11 15.60 -194.75 116.37 100.89 150.56
5.20 3.88 -1.23 -1.15 -1.11 -0.66 -1.21 1.09 0.79 0.22 -1.63 -1.37 73.61 -35.77 158.82 42.80 -37.85 14.00 -178.96 104.92 89.92 137.13
5.30 3.34 -1.06 -1.01 -0.92 -0.58 -1.04 0.94 0.66 0.20 -1.42 -1.18 68.00 -34.62 144.88 37.11 -33.91 12.54 -163.94 94.44 80.06 124.69
5.40 2.88 -0.92 -0.89 -0.77 -0.52 -0.88 0.83 0.56 0.19 -1.22 -1.02 62.60 -33.20 131.84 32.15 -30.28 11.20 -149.74 84.89 71.23 113.17
5.50 2.49 -0.79 -0.78 -0.64 -0.45 -0.76 0.71 0.46 0.17 -1.05 -0.86 57.45 -31.57 119.68 27.84 -26.96 9.96 -136.40 76.22 63.35 102.56
5.60 2.16 -0.68 -0.68 -0.53 -0.40 -0.64 0.62 0.39 0.16 -0.90 -0.74 52.55 -29.80 108.40 24.11 -23.93 8.84 -123.95 68.34 56.32 92.81
5.70 1.87 -0.58 -0.58 -0.44 -0.35 -0.54 0.52 0.32 0.14 -0.76 -0.63 47.93 -27.95 97.98 20.88 -21.20 7.82 -112.37 61.24 50.05 83.86
5.80 1.63 -0.50 -0.51 -0.36 -0.31 -0.46 0.46 0.26 0.13 -0.65 -0.53 43.61 -26.06 88.40 18.11 -18.74 6.90 -101.65 54.83 44.48 75.65
5.90 1.41 -0.42 -0.44 -0.30 -0.26 -0.38 0.39 0.22 0.11 -0.56 -0.46 39.58 -24.18 79.62 15.72 -16.53 6.06 -91.79 49.07 39.51 68.15
6.00 1.23 -0.37 -0.38 -0.24 -0.22 -0.33 0.34 0.18 0.10 -0.47 -0.38 35.86 -22.34 71.60 13.65 -14.55 5.29 -82.73 43.84 35.14 61.35
6.20 0.96 -0.26 -0.28 -0.17 -0.17 -0.21 0.24 0.13 0.08 -0.33 -0.27 29.23 -18.83 57.63 10.37 -11.20 4.00 -66.88 35.03 27.73 49.47
6.40 0.45 -0.19 -0.20 -0.12 -0.12 -0.16 0.18 0.09 0.06 -0.24 -0.20 23.66 -15.64 46.17 7.97 -8.61 2.99 -53.77 27.94 21.93 39.75
6.60 0.35 -0.13 -0.15 -0.07 -0.09 -0.11 0.12 0.06 0.05 -0.17 -0.14 19.04 -12.85 36.80 6.15 -6.52 2.16 -43.00 22.23 17.32 31.79
6.80 0.26 -0.09 -0.11 -0.04 -0.06 -0.07 0.08 0.04 0.04 -0.11 -0.09 15.22 -10.46 29.21 4.78 -4.93 1.52 -34.25 17.68 13.66 25.30
7.00 0.20 -0.06 -0.08 -0.03 -0.05 -0.05 0.05 0.02 0.03 -0.08 -0.06 12.12 -8.45 23.09 3.74 -3.71 1.05 -27.15 14.05 10.77 20.06
7.20 0.15 -0.04 -0.06 -0.01 -0.03 -0.03 0.04 0.01 0.03 -0.05 -0.04 9.59 -6.77 18.18 2.95 -2.77 0.69 -21.45 11.14 8.47 15.84
7.40 0.13 -0.03 -0.04 -0.01 -0.02 -0.02 0.03 0.01 0.02 -0.04 -0.03 7.56 -5.39 14.26 2.32 -2.05 0.43 -16.89 8.80 6.67 12.48
7.60 0.12 -0.01 -0.02 -0.00 -0.01 -0.01 0.01 0.00 0.01 -0.02 -0.01 5.95 -4.28 11.17 1.85 -2.01 0.74 -13.22 7.22 5.25 9.79
7.80 0.11 -0.01 -0.02 -0.00 -0.01 -0.01 0.01 0.00 0.01 -0.02 -0.01 4.65 -3.36 8.71 1.45 -1.48 0.50 -10.33 5.62 4.18 7.71
8.00 0.10 0.00 -0.02 0.00 -0.00 -0.00 0.00 0.00 0.01 -0.01 -0.00 3.63 -2.62 6.78 1.15 -1.09 0.33 -8.04 4.37 3.29 6.04
8.20 0.10 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 2.82 -2.04 5.25 0.91 -0.80 0.20 -6.24 3.39 2.60 4.72
8.40 0.05 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 2.18 -1.60 4.03 0.74 -0.59 0.13 -4.82 2.74 1.93 3.55
8.60 0.05 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 1.68 -1.25 3.10 0.57 -0.43 0.07 -3.70 2.11 1.50 2.75
8.80 0.06 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 1.29 -0.95 2.37 0.47 -0.30 0.03 -2.83 1.63 1.17 2.12
9.00 0.06 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 0.98 -0.72 1.80 0.36 -0.21 0.01 -2.16 1.23 0.91 1.63
9.20 0.06 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 0.74 -0.55 1.36 0.28 -0.15 -0.01 -1.62 0.92 0.71 1.25
9.40 0.06 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 0.55 -0.40 1.02 0.22 -0.11 -0.01 -1.23 0.68 0.55 0.95
9.60 0.05 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 0.41 -0.29 0.76 0.18 -0.07 -0.01 -0.90 0.49 0.44 0.72
9.80 0.05 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 0.30 -0.22 0.55 0.12 -0.06 -0.01 -0.65 0.34 0.33 0.55
10.00 0.04 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 0.21 -0.14 0.39 0.08 -0.03 -0.01 -0.46 0.21 0.26 0.41
10.50 0.02 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 0.07 -0.06 0.13 0.05 -0.02 -0.01 -0.16 0.11 0.05 0.10
11.00 0.00 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 0.00 0.00 -0.00 0.00 -0.00 -0.00 -0.00 -0.00 0.00 0.00
