R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<0|V|5>	Re<0|V|6>	Re<0|V|7>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<1|V|5>	Re<1|V|6>	Re<1|V|7>	Re<2|V|3>	Re<2|V|4>	Re<2|V|5>	Re<2|V|6>	Re<2|V|7>	Re<3|V|4>	Re<3|V|5>	Re<3|V|6>	Re<3|V|7>	Re<4|V|5>	Re<4|V|6>	Re<4|V|7>	Re<5|V|6>	Re<5|V|7>	Re<6|V|7>
2.07	79.77	44.49	-7.25	30.63	111.58	-165.43	248.42	601.16	511.07	-205.03	-630.65	522.5	-122.51	-200.26	-760.92	24.61	617.36	-26.21	457.04	975.36	-209.59	293.3	-216.51	1379.08	-586.79	20.83	340.73	-386.6
2.08	85.05	48.19	-3.85	24.24	125.72	-191.57	235.79	581.15	485.19	-191.92	-605.88	506.1	-142.87	-196.96	-727.23	17.73	589.83	-44.02	459.66	962.26	-205.94	289.42	-213.05	1351.29	-584.17	19.82	345.24	-396.23
2.09	90.08	51.79	-0.28	17.48	139.96	-217.5	226.3	562.08	460.95	-179.35	-582.27	489.48	-162.9	-194.37	-695.19	12.18	563.08	-61.71	462.49	948.88	-203.18	285.54	-210.12	1324.67	-581.36	20.02	349.64	-405.82
2.1	94.71	55.19	3.41	10.5	153.95	-242.61	219.71	543.82	438.33	-167.35	-559.74	472.66	-182.21	-192.45	-664.82	7.91	537.15	-78.88	465.44	935.23	-201.19	281.79	-207.65	1299.1	-578.58	21.32	353.83	-415.28
2.15	110.96	68.04	20.74	-22.56	212.17	-343.71	217.68	459.2	345.95	-116.03	-461.68	388.66	-259.69	-190.6	-536.59	1.95	420.95	-147.93	480.52	863.81	-199.09	269	-200.12	1182.89	-570.09	39.08	370.58	-456.95
2.2	118.31	74.89	33.38	-46.72	247.84	-402.93	235.54	380.53	277.92	-75.94	-384.14	312.77	-305.58	-196.27	-438.84	9.1	328.28	-187.81	494.25	793.64	-201.78	266.67	-195.79	1081.96	-572.57	62.61	380.96	-488.01
2.25	121.6	78.59	41.85	-62.79	268.95	-436.82	253.53	308.75	224.89	-43.33	-322.4	248.96	-332.35	-204.63	-361.48	19.31	255.36	-209.89	506.28	730.95	-204.52	270.05	-192.02	995.25	-581.25	84.12	387.81	-511.61
2.3	123.22	80.79	47.71	-73.75	282.23	-457.57	268.14	245.59	182.39	-16.36	-272.81	196.3	-349.01	-213.48	-298.92	29.34	197.42	-222.81	516.75	677.44	-206.52	275.56	-188.42	921.99	-592.09	102.41	392.84	-530.47
2.35	124.09	82.21	51.93	-81.49	291.15	-471.15	279.84	191.19	147.86	6.03	-232.56	152.91	-360	-221.83	-247.77	38.29	150.76	-230.82	525.73	632.71	-207.88	281.53	-184.99	860.73	-603.01	117.74	396.78	-545.92
2.4	124.57	83.17	55.07	-87.11	297.37	-480.41	288.75	145.2	119.82	24.5	-199.9	117.34	-367.54	-229.25	-205.88	45.95	113.12	-236.01	533.26	595.46	-208.74	287.2	-181.83	809.58	-613.05	130.43	399.92	-558.64
2.45	124.84	83.85	57.46	-91.21	301.83	-486.9	295.63	106.6	96.89	39.72	-173.2	88.16	-372.8	-235.59	-171.41	52.28	82.51	-239.49	539.39	564.51	-209.28	292.21	-178.96	766.88	-621.72	140.82	402.35	-568.98
2.5	125	84.31	59.27	-94.15	305.01	-491.41	300.85	74.41	78.06	52.19	-151.24	64.28	-376.49	-240.77	-142.93	57.37	57.53	-241.91	544.15	538.68	-209.59	296.41	-176.42	731.11	-628.81	149.14	404.08	-577.17
2.55	125.06	84.62	60.62	-96.16	307.25	-494.44	304.61	47.73	62.51	62.35	-133.08	44.8	-379.03	-244.78	-119.34	61.29	37.09	-243.6	547.59	516.91	-209.74	299.75	-174.23	700.94	-634.21	155.6	405.13	-583.32
2.6	125.08	84.79	61.58	-97.4	308.71	-496.33	307.15	25.71	49.59	70.57	-117.94	28.98	-380.69	-247.66	-99.66	64.11	20.32	-244.84	549.73	498.33	-209.79	302.2	-172.36	675.25	-637.88	160.37	405.48	-587.58
2.65	125.05	84.85	62.22	-97.99	309.54	-497.27	308.54	7.68	38.73	77.13	-105.16	16.23	-381.67	-249.38	-83.14	65.85	6.51	-245.73	550.66	482.21	-209.7	303.85	-170.73	652.98	-640	163.59	405.17	-590.14
2.7	124.97	84.82	62.56	-97.95	309.8	-497.37	308.92	-7.03	29.54	82.3	-94.31	6.02	-382.09	-250.11	-69.19	66.69	-4.86	-246.42	550.35	467.87	-209.63	304.58	-169.46	633.54	-640.3	165.35	404.07	-590.87
2.75	124.87	84.69	62.63	-97.37	309.58	-496.74	308.38	-18.95	21.66	86.31	-84.95	-2.04	-382.04	-249.84	-57.29	66.67	-14.27	-246.96	548.89	454.83	-209.56	304.5	-168.47	616.18	-638.98	165.8	402.25	-589.98
2.8	124.75	84.48	62.44	-96.3	308.91	-495.47	306.97	-28.52	14.8	89.33	-76.75	-8.32	-381.58	-248.65	-47.02	65.85	-22.08	-247.41	546.33	442.69	-209.47	303.62	-167.71	600.4	-636.11	165.05	399.71	-587.56
2.85	124.59	84.2	62.03	-94.76	307.83	-493.61	304.75	-36.11	8.75	91.5	-69.45	-13.09	-380.77	-246.58	-38.05	64.28	-28.57	-247.78	542.73	431.14	-209.37	302.02	-167.19	585.74	-631.79	163.19	396.46	-583.69
2.9	124.41	83.85	61.43	-92.81	306.38	-491.2	301.79	-42.05	3.3	92.96	-62.83	-16.6	-379.64	-243.69	-30.12	62.03	-34.01	-248.09	538.13	419.93	-209.26	299.71	-166.85	571.91	-626.08	160.31	392.52	-578.48
3	123.95	82.96	59.64	-87.76	302.44	-484.91	293.86	-49.98	-6.25	94.09	-51.08	-20.59	-376.55	-235.79	-16.53	55.74	-42.43	-248.6	526.27	397.78	-209.06	293.2	-166.67	545.66	-610.9	151.92	382.74	-564.42
3.1	123.34	81.84	57.21	-81.44	297.27	-476.87	283.59	-54.02	-14.61	93.44	-40.59	-21.56	-372.44	-225.46	-5.04	47.49	-48.45	-248.93	511.27	375.26	-208.83	284.45	-166.99	520.23	-591.38	140.59	370.62	-546.18
3.2	122.58	80.53	54.25	-74.09	291.03	-467.31	271.42	-55.39	-22.18	91.46	-30.89	-20.39	-367.39	-213.25	5.08	37.74	-52.84	-249.08	493.72	351.9	-208.56	273.86	-167.62	494.82	-568.33	127.02	356.52	-524.56
3.3	121.65	79.07	50.87	-65.91	283.84	-456.43	257.73	-54.97	-29.18	88.52	-21.68	-17.79	-361.47	-199.64	14.26	26.91	-56.07	-248.95	474.16	327.66	-208.2	261.78	-168.39	469.09	-542.59	111.84	340.78	-500.35
3.4	120.49	77.48	47.17	-57.14	275.83	-444.42	242.9	-53.42	-35.65	84.88	-12.92	-14.22	-354.72	-185.14	22.7	15.41	-58.43	-248.49	453.13	302.68	-207.71	248.59	-169.14	442.98	-514.92	95.64	323.82	-474.32
3.5	119.12	75.76	43.23	-48.01	267.1	-431.41	227.3	-51.17	-41.58	80.75	-4.59	-10.05	-347.12	-170.16	30.49	3.62	-60.1	-247.6	431.11	277.2	-207.04	234.64	-169.73	416.59	-486.04	78.98	305.98	-447.14
3.6	117.49	73.97	39.17	-38.71	257.77	-417.58	211.22	-48.55	-46.83	76.26	3.2	-5.58	-338.71	-155.12	37.56	-8.13	-61.14	-246.21	408.58	251.49	-206.17	220.22	-170.04	390.08	-456.6	62.36	287.62	-419.44
3.7	115.56	72.1	35.08	-29.42	247.93	-403.04	195	-45.86	-51.48	71.56	10.46	-1.04	-329.51	-140.25	43.98	-19.6	-61.75	-244.24	385.84	226.19	-204.97	205.69	-169.92	363.72	-427.14	46.13	269.14	-391.75
3.8	113.36	70.18	30.98	-20.31	237.63	-387.92	178.79	-43.17	-55.36	66.7	17.07	3.46	-319.53	-125.85	49.62	-30.56	-61.88	-241.63	363.26	201.33	-203.4	191.09	-169.27	337.71	-398.11	30.65	250.61	-364.49
3.9	110.84	68.2	26.98	-11.52	226.99	-372.31	162.93	-40.71	-58.49	61.82	23.01	7.7	-308.81	-112.15	54.48	-40.81	-61.7	-238.36	341.07	177.37	-201.44	176.69	-168.04	312.29	-369.87	16.17	232.37	-338.03
4	107.98	66.19	23.09	-3.17	216.05	-356.33	147.54	-38.46	-60.85	56.95	28.26	11.61	-297.4	-99.22	58.53	-50.22	-61.21	-234.36	319.45	154.61	-199	162.64	-166.17	287.65	-342.68	2.91	214.62	-312.62
4.1	104.83	64.14	19.39	4.61	204.92	-340.06	132.77	-36.45	-62.35	52.12	32.7	15.17	-285.35	-87.25	61.68	-58.62	-60.37	-229.65	298.57	133.16	-196.07	149.1	-163.61	263.89	-316.74	-8.97	197.52	-288.44
4.2	101.35	62.04	15.88	11.72	193.62	-323.59	118.71	-34.64	-63.05	47.37	36.36	18.31	-272.73	-76.25	63.95	-65.96	-59.25	-224.19	278.51	113.2	-192.6	136.09	-160.38	241.16	-292.15	-19.39	181.13	-265.6
4.3	97.6	59.9	12.59	18.13	182.24	-306.99	105.46	-33.01	-62.94	42.75	39.21	21.02	-259.63	-66.3	65.31	-72.17	-57.85	-218.04	259.33	94.8	-188.59	123.72	-156.47	219.54	-268.98	-28.31	165.56	-244.17
4.4	93.57	57.72	9.54	23.74	170.86	-290.37	93.08	-31.59	-62.19	38.3	41.37	23.25	-246.16	-57.31	65.88	-77.25	-56.3	-211.19	241.03	78.16	-183.96	112	-151.89	199.12	-247.23	-35.75	150.9	-224.14
4.5	89.32	55.49	6.74	28.54	159.55	-273.8	81.62	-30.28	-60.8	34.05	42.83	25.02	-232.42	-49.28	65.66	-81.21	-54.58	-203.7	223.66	63.26	-178.73	101	-146.7	179.92	-226.89	-41.73	137.16	-205.51
4.6	84.89	53.19	4.18	32.56	148.36	-257.32	71.11	-29.09	-58.87	30.04	43.66	26.33	-218.53	-42.2	64.72	-83.98	-52.75	-195.67	207.08	50.08	-173.01	90.6	-141.06	162.17	-207.68	-46.39	124.27	-188.04
4.7	80.31	50.85	1.9	35.7	137.41	-241.08	61.54	-27.95	-56.51	26.27	43.91	27.23	-204.62	-35.98	63.16	-85.67	-50.78	-187.07	191.47	38.56	-166.62	81.06	-134.84	145.51	-190.03	-49.69	112.46	-172.05
4.8	75.63	48.46	-0.12	38.03	126.75	-225.13	52.9	-26.83	-53.78	22.77	43.64	27.71	-190.8	-30.57	61.05	-86.32	-48.73	-178.04	176.73	28.62	-159.71	72.26	-128.24	130.09	-173.62	-51.79	101.59	-157.25
4.9	70.92	46.02	-1.88	39.59	116.45	-209.56	45.16	-25.71	-50.8	19.57	42.91	27.83	-177.23	-25.91	58.49	-86	-46.58	-168.66	162.85	20.18	-152.35	64.18	-121.34	115.95	-158.4	-52.83	91.6	-143.6
5	66.23	43.52	-3.39	40.44	106.58	-194.43	38.28	-24.56	-47.63	16.66	41.82	27.63	-163.98	-21.9	55.56	-84.78	-44.36	-159.04	149.75	13.1	-144.6	56.81	-114.25	103.01	-144.28	-52.96	82.52	-130.99
5.1	61.6	41	-4.66	40.65	97.19	-179.8	32.24	-23.39	-44.37	14.05	40.38	27.15	-151.17	-18.49	52.37	-82.78	-42.09	-149.29	137.43	7.3	-136.57	50.16	-107.06	91.27	-131.19	-52.3	74.27	-119.33
5.2	57.08	38.47	-5.68	40.3	88.32	-165.75	26.97	-22.17	-41.08	11.72	38.7	26.43	-138.88	-15.58	49.01	-80.1	-39.78	-139.5	125.87	2.62	-128.35	44.16	-99.86	80.65	-119.09	-50.99	66.79	-108.56
5.3	52.68	35.95	-6.48	39.47	80.01	-152.32	22.41	-20.91	-37.82	9.7	36.81	25.51	-127.18	-13.13	45.56	-76.88	-37.45	-129.8	115.06	-1.07	-120.04	38.8	-92.75	71.12	-107.91	-49.17	60.04	-98.65
5.4	48.47	33.44	-7.06	38.23	72.28	-139.57	18.51	-19.64	-34.65	7.92	34.8	24.45	-116.12	-11.06	42.11	-73.23	-35.12	-120.26	104.95	-3.88	-111.75	34.05	-85.78	62.58	-97.64	-46.96	53.96	-89.53
5.5	44.46	30.99	-7.46	36.68	65.12	-127.52	15.2	-18.34	-31.6	6.4	32.71	23.26	-105.72	-9.34	38.7	-69.27	-32.81	-110.97	95.54	-5.97	-103.57	29.83	-79.05	55.01	-88.18	-44.49	48.47	-81.11
5.6	40.65	28.61	-7.68	34.9	58.54	-116.2	12.42	-17.06	-28.7	5.11	30.57	22.01	-96.01	-7.88	35.4	-65.11	-30.52	-102.02	86.8	-7.44	-95.59	26.1	-72.59	48.3	-79.51	-41.83	43.53	-73.39
5.7	37.07	26.3	-7.76	32.95	52.52	-105.61	10.09	-15.78	-25.98	4.02	28.41	20.7	-86.98	-6.65	32.23	-60.84	-28.28	-93.48	78.71	-8.4	-87.89	22.84	-66.44	42.39	-71.59	-39.07	39.08	-66.3
5.8	33.72	24.1	-7.71	30.91	47.02	-95.76	8.17	-14.54	-23.44	3.11	26.3	19.37	-78.63	-5.64	29.23	-56.56	-26.12	-85.37	71.24	-8.96	-80.53	19.97	-60.63	37.19	-64.36	-36.29	35.06	-59.8
5.9	30.6	22.01	-7.55	28.82	42.05	-86.63	6.59	-13.32	-21.09	2.36	24.24	18.04	-70.95	-4.77	26.44	-52.32	-24.04	-77.73	64.37	-9.19	-73.56	17.46	-55.19	32.64	-57.77	-33.54	31.44	-53.87
6	27.71	20.04	-7.31	26.73	37.56	-78.22	5.29	-12.15	-18.93	1.74	22.25	16.73	-63.91	-4.04	23.82	-48.2	-22.04	-70.58	58.07	-9.18	-66.97	15.27	-50.11	28.64	-51.8	-30.86	28.18	-48.46
6.2	22.59	16.49	-6.65	22.68	29.85	-63.41	3.4	-9.98	-15.14	0.83	18.55	14.25	-51.59	-2.92	19.21	-40.44	-18.36	-57.77	47.04	-8.62	-55.1	11.71	-41.05	22.09	-41.51	-25.84	22.62	-39.05
6.4	18.29	13.43	-5.86	18.92	23.63	-51.1	2.2	-8.1	-12.06	0.27	15.32	11.97	-41.42	-2.1	15.36	-33.55	-15.12	-46.88	37.94	-7.7	-44.88	9	-33.32	17.12	-33.23	-21.36	18.08	-31.4
6.6	14.71	10.86	-5.03	15.6	18.67	-40.93	1.43	-6.46	-9.51	-0.08	12.47	9.98	-33.08	-1.53	12.18	-27.52	-12.3	-37.78	30.44	-6.64	-36.32	6.95	-26.91	13.28	-26.49	-17.48	14.44	-25.11
6.8	11.77	8.73	-4.24	12.75	14.69	-32.62	0.97	-5.11	-7.46	-0.27	10.07	8.23	-26.3	-1.11	9.61	-22.38	-9.93	-30.29	24.3	-5.58	-29.26	5.35	-21.65	10.38	-20.96	-14.21	11.47	-19.92
7	9.37	6.97	-3.52	10.33	11.54	-25.87	0.68	-4.01	-5.84	-0.36	8.06	6.74	-20.83	-0.81	7.54	-18.06	-7.97	-24.15	19.32	-4.58	-23.44	4.13	-17.32	8.13	-16.58	-11.48	9.08	-15.77
7.2	7.41	5.54	-2.89	8.29	9.04	-20.45	0.5	-3.1	-4.54	-0.4	6.42	5.48	-16.44	-0.59	5.9	-14.5	-6.34	-19.17	15.31	-3.71	-18.69	3.2	-13.8	6.38	-13.07	-9.21	7.17	-12.44
7.4	5.85	4.38	-2.33	6.63	7.07	-16.09	0.39	-2.38	-3.52	-0.4	5.07	4.45	-12.92	-0.43	4.6	-11.58	-5.01	-15.15	12.08	-2.97	-14.84	2.49	-10.95	5.02	-10.28	-7.36	5.65	-9.78
7.6	4.6	3.45	-1.87	5.26	5.52	-12.63	0.32	-2.4	-2.79	-0.12	4.05	3.19	-10.14	-0.66	3.73	-8.83	-4.17	-11.96	9.66	-2.5	-11.98	1.95	-8.81	4.05	-8.05	-5.61	4.43	-7.68
7.8	3.6	2.71	-1.49	4.17	4.29	-9.86	0.27	-1.82	-2.15	-0.14	3.16	2.58	-7.91	-0.5	2.88	-7	-3.26	-9.38	7.58	-1.96	-9.45	1.51	-6.94	3.17	-6.29	-4.45	3.47	-5.99
8	2.81	2.12	-1.18	3.28	3.33	-7.69	0.23	-1.38	-1.64	-0.14	2.47	2.06	-6.15	-0.38	2.21	-5.51	-2.53	-7.33	5.92	-1.52	-7.41	1.18	-5.44	2.5	-4.91	-3.51	2.71	-4.66
8.2	2.18	1.65	-0.92	2.57	2.58	-5.97	0.21	-1.03	-1.25	-0.14	1.9	1.64	-4.76	-0.28	1.71	-4.33	-1.96	-5.71	4.61	-1.16	-5.8	0.92	-4.25	1.95	-3.82	-2.75	2.11	-3.62
8.4	1.68	1.29	-0.72	2	1.99	-4.61	0.18	-0.78	-0.96	-0.12	1.48	1.29	-3.68	-0.2	1.3	-3.38	-1.51	-4.42	3.58	-0.89	-4.51	0.71	-3.31	1.54	-2.96	-2.16	1.64	-2.78
8.6	1.3	0.99	-0.55	1.56	1.53	-3.55	0.15	-0.58	-0.72	-0.1	1.13	1.01	-2.82	-0.15	0.98	-2.63	-1.16	-3.41	2.76	-0.66	-3.49	0.56	-2.56	1.2	-2.28	-1.68	1.26	-2.15
8.8	0.99	0.76	-0.42	1.19	1.17	-2.72	0.14	-0.43	-0.55	-0.09	0.86	0.8	-2.15	-0.11	0.74	-2.03	-0.88	-2.62	2.12	-0.49	-2.7	0.44	-1.96	0.94	-1.76	-1.3	0.98	-1.64
9	0.76	0.58	-0.32	0.91	0.89	-2.07	0.12	-0.31	-0.41	-0.08	0.66	0.62	-1.63	-0.08	0.55	-1.57	-0.66	-2	1.62	-0.36	-2.07	0.34	-1.51	0.73	-1.35	-1	0.75	-1.26
9.2	0.58	0.44	-0.24	0.7	0.68	-1.56	0.11	-0.23	-0.3	-0.05	0.49	0.48	-1.23	-0.06	0.41	-1.19	-0.51	-1.51	1.22	-0.24	-1.58	0.25	-1.16	0.56	-1	-0.77	0.58	-0.93
9.4	0.43	0.33	-0.18	0.52	0.5	-1.17	0.09	-0.17	-0.22	-0.04	0.37	0.36	-0.93	-0.04	0.31	-0.9	-0.38	-1.14	0.92	-0.16	-1.19	0.2	-0.88	0.44	-0.75	-0.58	0.44	-0.7
9.6	0.32	0.25	-0.13	0.38	0.37	-0.87	0.09	-0.11	-0.17	-0.04	0.27	0.28	-0.68	-0.03	0.23	-0.67	-0.28	-0.84	0.68	-0.1	-0.89	0.16	-0.64	0.33	-0.56	-0.44	0.33	-0.52
9.8	0.23	0.17	-0.1	0.28	0.28	-0.63	0.06	-0.09	-0.11	-0.03	0.2	0.2	-0.49	-0.02	0.16	-0.49	-0.2	-0.61	0.5	-0.05	-0.65	0.13	-0.47	0.25	-0.41	-0.32	0.26	-0.37
10	0.16	0.12	-0.06	0.2	0.2	-0.44	0.05	-0.06	-0.08	-0.03	0.14	0.14	-0.34	-0.01	0.11	-0.35	-0.15	-0.44	0.34	-0.01	-0.47	0.11	-0.34	0.18	-0.29	-0.24	0.2	-0.26
10.5	0.06	0.04	-0.01	0.06	0.08	-0.15	0.03	-0.03	-0.03	-0.01	0.05	0.05	-0.12	0	0.03	-0.12	-0.05	-0.14	0.11	0.05	-0.15	0.07	-0.12	0.06	-0.1	-0.09	0.11	-0.09
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
