R Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<0|V|7> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<1|V|7> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<2|V|7> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<3|V|7> Re<4|V|5> Re<4|V|6> Re<4|V|7> Re<5|V|6> Re<5|V|7>
8.00 0.95 0.86 0.04 -1.15 -0.01 0.15 0.03 -0.03 -0.02 0.02 0.06 -0.10 0.03 -0.07 0.01 -0.00 -0.06 -2.14 0.60 3.03 -1.09 4.39 1.23 0.40 1.41
8.20 0.74 0.68 0.03 -0.89 -0.01 0.13 0.02 -0.02 -0.01 0.01 0.06 -0.08 0.02 -0.06 0.01 -0.01 0.14 -1.65 0.35 2.34 -0.85 3.63 0.95 0.31 1.12
8.40 0.56 0.53 0.03 -0.67 -0.01 0.06 0.01 -0.02 -0.01 0.01 0.04 -0.06 0.01 -0.04 0.01 -0.00 0.07 -1.27 0.30 1.81 -0.66 2.82 0.74 0.24 0.92
8.60 0.44 0.41 0.02 -0.52 -0.01 0.04 0.01 -0.01 -0.00 0.01 0.04 -0.05 0.01 -0.03 0.00 -0.01 0.03 -0.98 0.26 1.39 -0.50 2.17 0.57 0.18 0.74
8.80 0.34 0.32 0.02 -0.40 -0.01 0.03 0.01 -0.01 -0.01 0.00 0.02 -0.03 0.01 -0.03 0.00 -0.00 -0.00 -0.74 0.22 1.06 -0.39 1.67 0.44 0.14 0.57
9.00 0.26 0.24 0.01 -0.31 -0.00 0.02 0.01 -0.01 -0.00 0.00 0.02 -0.03 0.00 -0.02 0.00 -0.00 -0.02 -0.57 0.18 0.81 -0.30 1.26 0.34 0.11 0.44
9.20 0.20 0.19 0.01 -0.23 -0.00 0.01 0.00 -0.00 -0.00 0.00 0.02 -0.02 0.00 -0.02 0.00 -0.00 -0.03 -0.42 0.16 0.61 -0.22 0.97 0.25 0.08 0.33
9.40 0.15 0.14 0.01 -0.17 -0.00 0.05 0.00 -0.00 -0.00 0.00 0.02 -0.02 0.00 -0.02 0.00 -0.00 -0.12 -0.32 0.18 0.46 -0.16 0.66 0.19 0.06 0.22
9.60 0.11 0.11 0.01 -0.13 -0.00 0.04 0.00 -0.00 -0.01 0.00 0.00 -0.02 0.00 -0.01 0.00 0.01 -0.12 -0.24 0.16 0.33 -0.12 0.47 0.14 0.04 0.15
9.80 0.08 0.07 0.00 -0.09 -0.00 0.04 0.00 -0.01 -0.00 0.00 -0.00 -0.02 -0.00 -0.00 0.00 -0.00 -0.12 -0.17 0.13 0.25 -0.09 0.32 0.10 0.03 0.10
10.00 0.06 0.06 0.01 -0.06 -0.00 0.04 0.01 -0.01 -0.00 0.00 -0.00 -0.01 0.00 0.00 -0.00 0.00 -0.11 -0.13 0.12 0.17 -0.06 0.20 0.07 0.02 0.07
10.50 0.02 0.03 0.00 -0.02 -0.00 0.03 0.00 0.00 -0.00 -0.00 -0.00 0.00 0.00 0.00 0.00 0.00 -0.09 -0.04 0.08 0.06 -0.02 0.02 0.02 0.01 0.06
11.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -0.00 -0.00 -0.00 0.00 0.00 0.00 0.00 0.00 0.00 -0.00 0.00 -0.00 -0.00 0.00 0.00 0.00 -0.00
