R Im<0|V|1> Im<0|V|2> Im<0|V|3> Im<0|V|4> Im<0|V|5> Im<0|V|6> Im<0|V|7> Im<1|V|3> Im<1|V|4> Im<1|V|5> Im<1|V|6> Im<1|V|7> Im<2|V|3> Im<2|V|4> Im<2|V|5> Im<2|V|6> Im<2|V|7> Im<3|V|4> Im<3|V|5> Im<3|V|6> Im<3|V|7> Im<4|V|5> Im<4|V|6> Im<4|V|7> Im<5|V|6> Im<5|V|7> Im<6|V|7>
2.07 57.08 -31.08 -108.75 -2.59 -98.24 17.69 35.15 -3.28 -7.21 -2.39 24.31 -2.70 -11.97 13.41 -2.26 31.22 2.50 -317.65 301.56 933.16 -267.76 460.78 389.77 -138.68 -620.32 -22.38 98.11
2.08 56.76 -30.91 -108.60 -2.66 -97.89 17.65 35.03 -3.13 -7.47 -2.39 24.48 -2.67 -12.02 13.46 -2.30 30.95 2.50 -303.20 298.86 900.86 -266.66 465.56 382.46 -143.42 -623.53 -22.76 93.49
2.09 56.45 -30.74 -108.44 -2.73 -97.52 17.60 34.91 -3.00 -7.73 -2.38 24.63 -2.64 -12.06 13.50 -2.34 30.68 2.49 -289.24 296.19 869.73 -265.51 470.33 375.41 -148.15 -626.54 -23.12 88.83
2.10 56.13 -30.57 -108.28 -2.79 -97.16 17.56 34.78 -2.87 -7.98 -2.37 24.79 -2.61 -12.10 13.54 -2.38 30.41 2.48 -275.81 293.56 839.80 -264.32 475.09 368.55 -152.88 -629.33 -23.46 84.13
2.15 54.53 -29.70 -107.48 -3.12 -95.32 17.33 34.16 -2.22 -9.11 -2.32 25.43 -2.45 -12.26 13.71 -2.55 29.12 2.42 -214.70 280.73 704.78 -257.73 498.60 337.99 -176.30 -640.20 -24.84 60.19
2.20 52.91 -28.82 -106.67 -3.44 -93.45 17.10 33.51 -1.64 -10.03 -2.23 25.90 -2.26 -12.35 13.80 -2.67 27.86 2.34 -164.49 268.67 594.01 -250.24 521.28 311.65 -199.00 -646.63 -25.54 35.73
2.25 51.28 -27.93 -105.86 -3.78 -91.54 16.87 32.85 -1.08 -10.55 -2.03 26.40 -2.09 -12.34 14.24 -2.59 27.01 2.19 -122.33 257.35 501.54 -242.13 542.96 289.79 -220.46 -649.27 -25.43 11.28
2.30 49.63 -27.03 -105.06 -4.12 -89.63 16.63 32.19 -0.61 -10.92 -1.83 26.67 -1.91 -12.26 14.53 -2.50 26.13 2.04 -87.40 246.90 424.87 -233.76 563.23 271.49 -240.21 -649.08 -24.53 -12.55
2.35 47.96 -26.12 -104.30 -4.48 -87.72 16.41 31.51 -0.20 -11.18 -1.63 26.75 -1.72 -12.14 14.68 -2.42 25.25 1.89 -58.58 237.41 361.28 -225.47 581.76 256.23 -257.93 -646.87 -23.00 -35.13
2.40 46.27 -25.20 -103.56 -4.83 -85.82 16.18 30.82 0.15 -11.32 -1.44 26.65 -1.54 -11.96 14.74 -2.33 24.37 1.74 -34.89 228.92 308.59 -217.53 598.26 243.50 -273.46 -643.34 -21.09 -55.91
2.45 44.61 -24.29 -102.86 -5.20 -83.91 15.96 30.13 0.43 -11.34 -1.26 26.43 -1.36 -11.74 14.70 -2.23 23.50 1.59 -15.42 221.37 264.76 -210.11 612.54 232.86 -286.75 -639.00 -19.03 -74.54
2.50 42.92 -23.38 -102.18 -5.57 -82.00 15.75 29.43 0.66 -11.28 -1.09 26.07 -1.20 -11.48 14.59 -2.13 22.65 1.45 0.60 214.72 228.19 -203.33 624.44 223.88 -297.88 -634.13 -16.98 -90.85
2.55 41.23 -22.46 -101.52 -5.94 -80.09 15.54 28.73 0.86 -11.16 -0.92 25.62 -1.05 -11.19 14.44 -2.02 21.82 1.32 13.68 208.87 197.86 -197.20 633.98 216.32 -306.96 -628.90 -15.03 -104.85
2.60 39.58 -21.56 -100.89 -6.33 -78.17 15.33 28.02 1.02 -10.98 -0.77 25.12 -0.91 -10.89 14.24 -1.91 21.02 1.19 24.30 203.72 172.73 -191.70 641.16 209.86 -314.17 -623.31 -13.24 -116.63
2.65 37.93 -20.66 -100.26 -6.72 -76.23 15.12 27.30 1.16 -10.76 -0.63 24.56 -0.78 -10.57 14.00 -1.79 20.22 1.07 32.91 199.16 151.82 -186.80 646.18 204.23 -319.72 -617.51 -11.62 -126.40
2.70 36.30 -19.76 -99.65 -7.12 -74.26 14.92 26.56 1.27 -10.51 -0.49 23.97 -0.67 -10.25 13.74 -1.68 19.45 0.95 39.81 195.08 134.53 -182.41 648.86 199.32 -323.65 -611.18 -10.16 -134.24
2.75 34.68 -18.88 -99.04 -7.52 -72.30 14.71 25.82 1.37 -10.24 -0.36 23.35 -0.56 -9.93 13.47 -1.55 18.70 0.84 45.33 191.37 120.14 -178.46 649.45 194.90 -326.17 -604.41 -8.86 -140.39
2.80 33.10 -18.02 -98.42 -7.92 -70.29 14.51 25.07 1.45 -9.94 -0.24 22.72 -0.46 -9.59 13.18 -1.43 17.97 0.74 49.69 187.96 108.16 -174.89 648.04 190.86 -327.45 -597.13 -7.70 -145.02
2.85 31.56 -17.18 -97.79 -8.33 -68.28 14.30 24.31 1.51 -9.64 -0.14 22.08 -0.38 -9.27 12.87 -1.32 17.26 0.64 53.08 184.77 98.13 -171.65 644.80 187.09 -327.59 -589.33 -6.67 -148.30
2.90 30.05 -16.35 -97.16 -8.73 -66.26 14.10 23.55 1.58 -9.33 -0.03 21.43 -0.30 -8.95 12.56 -1.20 16.56 0.55 55.68 181.76 89.71 -168.67 639.81 183.49 -326.70 -581.00 -5.75 -150.37
3.00 27.11 -14.75 -95.81 -9.51 -62.18 13.68 22.01 1.67 -8.73 0.14 20.17 -0.16 -8.34 11.92 -0.98 15.24 0.39 58.96 176.04 76.59 -163.30 625.18 176.61 -322.26 -562.68 -4.19 -151.47
3.10 24.36 -13.25 -94.36 -10.27 -58.07 13.25 20.46 1.73 -8.12 0.29 18.93 -0.05 -7.75 11.26 -0.77 13.99 0.25 60.32 170.54 67.00 -158.47 605.20 169.87 -314.86 -542.28 -2.94 -149.26
3.20 21.77 -11.84 -92.78 -10.97 -54.01 12.81 18.93 1.77 -7.54 0.32 17.75 -0.12 -7.19 10.61 -0.53 12.81 0.22 60.32 165.06 59.80 -153.97 580.91 163.08 -305.12 -520.09 -1.92 -144.53
3.30 19.37 -10.53 -91.08 -11.62 -50.01 12.37 17.43 1.78 -7.00 0.31 16.62 -0.22 -6.68 9.96 -0.30 11.72 0.21 59.36 159.51 54.10 -149.64 553.28 156.18 -293.58 -496.46 -1.09 -137.93
3.40 17.15 -9.33 -89.21 -12.19 -46.10 11.92 15.96 1.79 -6.48 0.31 15.53 -0.30 -6.20 9.31 -0.12 10.69 0.21 57.67 153.85 49.47 -145.36 523.24 149.14 -280.70 -471.81 -0.41 -130.03
3.50 15.13 -8.23 -87.19 -12.68 -42.33 11.47 14.55 1.76 -5.99 0.30 14.48 -0.36 -5.75 8.66 0.04 9.74 0.20 55.48 148.05 45.56 -141.07 491.61 141.98 -266.90 -446.55 0.15 -121.26
3.60 13.31 -7.23 -85.00 -13.08 -38.69 11.00 13.19 1.72 -5.54 0.29 13.47 -0.40 -5.33 8.02 0.17 8.86 0.18 52.87 142.12 42.15 -136.70 459.18 134.74 -252.52 -421.08 0.61 -112.04
3.70 11.66 -6.33 -82.65 -13.39 -35.23 10.54 11.91 1.66 -5.11 0.28 12.50 -0.42 -4.94 7.41 0.26 8.06 0.17 50.05 136.06 39.00 -132.21 426.56 127.52 -237.84 -395.72 0.99 -102.66
3.80 10.18 -5.53 -80.13 -13.60 -31.93 10.07 10.69 1.60 -4.72 0.27 11.57 -0.44 -4.58 6.81 0.34 7.32 0.16 47.07 129.88 36.08 -127.59 394.30 120.34 -223.13 -370.77 1.29 -93.40
3.90 8.84 -4.80 -77.45 -13.72 -28.80 9.59 9.54 1.52 -4.35 0.26 10.70 -0.44 -4.24 6.24 0.39 6.64 0.14 43.98 123.61 33.35 -122.82 362.82 113.25 -208.57 -346.47 1.52 -84.44
4.00 7.67 -4.16 -74.61 -13.74 -25.83 9.12 8.45 1.44 -4.00 0.24 9.87 -0.44 -3.92 5.69 0.43 6.01 0.13 40.83 117.28 30.77 -117.89 332.48 106.30 -194.33 -322.98 1.70 -75.94
4.10 6.63 -3.60 -71.63 -13.68 -23.06 8.64 7.45 1.35 -3.68 0.23 9.07 -0.43 -3.63 5.16 0.45 5.44 0.12 37.67 110.91 28.31 -112.80 303.55 99.50 -180.53 -300.43 1.83 -68.01
4.20 5.72 -3.10 -68.52 -13.53 -20.46 8.16 6.51 1.26 -3.39 0.21 8.32 -0.41 -3.35 4.67 0.45 4.92 0.11 34.56 104.54 25.96 -107.56 276.17 92.90 -167.25 -278.87 1.91 -60.69
4.30 4.92 -2.67 -65.31 -13.30 -18.05 7.68 5.65 1.17 -3.11 0.20 7.63 -0.39 -3.10 4.21 0.45 4.45 0.10 31.51 98.18 23.73 -102.19 250.48 86.53 -154.55 -258.36 1.96 -54.04
4.40 4.22 -2.29 -62.00 -12.99 -15.80 7.20 4.85 1.08 -2.86 0.19 6.97 -0.37 -2.85 3.79 0.44 4.01 0.09 28.56 91.86 21.62 -96.72 226.54 80.38 -142.46 -238.92 1.97 -48.04
4.50 3.61 -1.95 -58.62 -12.62 -13.73 6.73 4.12 0.99 -2.61 0.17 6.35 -0.35 -2.63 3.39 0.43 3.62 0.08 25.74 85.64 19.62 -91.20 204.36 74.49 -131.04 -220.53 1.95 -42.67
4.60 3.08 -1.67 -55.21 -12.18 -11.85 6.26 3.46 0.90 -2.39 0.15 5.78 -0.33 -2.41 3.02 0.41 3.25 0.07 23.08 79.53 17.78 -85.62 183.73 68.93 -120.18 -202.96 1.91 -37.83
4.70 2.62 -1.42 -51.78 -11.70 -10.12 5.81 2.87 0.82 -2.18 0.14 5.24 -0.30 -2.22 2.69 0.38 2.93 0.07 20.55 73.59 16.05 -80.07 165.01 63.55 -110.07 -186.64 1.85 -33.64
4.80 2.23 -1.21 -48.38 -11.17 -8.57 5.37 2.34 0.75 -2.00 0.13 4.76 -0.28 -2.03 2.39 0.36 2.63 0.06 18.22 67.85 14.42 -74.59 147.93 58.44 -100.61 -171.30 1.78 -29.95
4.90 1.90 -1.03 -45.00 -10.61 -7.18 4.94 1.87 0.68 -1.82 0.11 4.30 -0.26 -1.86 2.11 0.34 2.36 0.05 16.06 62.35 12.91 -69.21 132.43 53.61 -91.79 -156.93 1.69 -26.72
5.00 1.60 -0.87 -41.72 -10.03 -5.96 4.54 1.47 0.61 -1.66 0.10 3.88 -0.24 -1.70 1.87 0.31 2.11 0.05 14.10 57.10 11.53 -63.96 118.39 49.07 -83.59 -143.48 1.60 -23.88
5.10 1.36 -0.73 -38.54 -9.44 -4.89 4.15 1.12 0.54 -1.50 0.09 3.50 -0.22 -1.55 1.65 0.29 1.90 0.04 12.32 52.12 10.29 -58.90 105.70 44.80 -75.99 -130.92 1.51 -21.39
5.20 1.14 -0.62 -35.46 -8.83 -3.96 3.78 0.83 0.49 -1.36 0.08 3.16 -0.20 -1.40 1.45 0.27 1.70 0.04 10.71 47.45 9.19 -54.06 94.27 40.82 -68.95 -119.21 1.41 -19.19
5.30 0.95 -0.51 -32.54 -8.23 -3.16 3.44 0.58 0.44 -1.24 0.07 2.84 -0.18 -1.28 1.28 0.24 1.52 0.04 9.29 43.06 8.18 -49.46 84.02 37.13 -62.48 -108.36 1.32 -17.24
5.40 0.79 -0.43 -29.76 -7.64 -2.47 3.12 0.37 0.39 -1.11 0.06 2.55 -0.16 -1.16 1.12 0.22 1.35 0.03 8.01 39.00 7.32 -45.11 74.85 33.69 -56.52 -98.32 1.23 -15.52
5.50 0.67 -0.36 -27.14 -7.07 -1.90 2.82 0.20 0.35 -1.00 0.06 2.29 -0.15 -1.05 0.98 0.20 1.20 0.03 6.88 35.24 6.56 -41.03 66.61 30.53 -51.06 -89.03 1.14 -13.99
5.60 0.55 -0.29 -24.68 -6.51 -1.43 2.55 0.07 0.32 -0.92 0.05 2.05 -0.13 -0.95 0.88 0.18 1.07 0.03 5.90 31.77 5.87 -37.23 59.28 27.62 -46.07 -80.47 1.05 -12.61
5.70 0.46 -0.25 -22.41 -5.98 -1.03 2.29 -0.04 0.28 -0.82 0.05 1.84 -0.12 -0.86 0.76 0.17 0.96 0.02 5.04 28.60 5.28 -33.69 52.72 24.95 -41.51 -72.62 0.97 -11.39
5.80 0.39 -0.21 -20.28 -5.48 -0.71 2.06 -0.12 0.25 -0.73 0.04 1.64 -0.11 -0.77 0.67 0.15 0.85 0.02 4.29 25.70 4.77 -30.43 46.88 22.52 -37.36 -65.44 0.89 -10.29
5.90 0.32 -0.17 -18.33 -5.00 -0.44 1.85 -0.19 0.22 -0.66 0.03 1.47 -0.10 -0.69 0.59 0.14 0.75 0.02 3.64 23.06 4.32 -27.44 41.66 20.29 -33.58 -58.86 0.82 -9.27
6.00 0.26 -0.14 -16.53 -4.56 -0.23 1.66 -0.23 0.20 -0.59 0.03 1.32 -0.09 -0.63 0.52 0.13 0.68 0.02 3.08 20.68 3.91 -24.69 37.03 18.27 -30.16 -52.87 0.75 -8.37
6.20 0.18 -0.09 -13.38 -3.75 0.04 1.33 -0.28 0.16 -0.47 0.03 1.04 -0.07 -0.50 0.40 0.10 0.53 0.01 2.18 16.55 3.27 -19.91 29.22 14.76 -24.25 -42.49 0.63 -6.81
6.40 0.11 -0.06 -10.77 -3.07 0.21 1.06 -0.29 0.12 -0.37 0.02 0.82 -0.06 -0.40 0.31 0.09 0.41 0.01 1.53 13.21 2.73 -15.97 23.15 11.87 -19.47 -34.07 0.53 -5.56
6.60 0.07 -0.04 -8.61 -2.49 0.31 0.84 -0.29 0.10 -0.29 0.01 0.65 -0.04 -0.32 0.23 0.07 0.33 0.01 1.04 10.50 2.32 -12.74 18.28 9.50 -15.57 -27.17 0.44 -4.52
6.80 0.04 -0.02 -6.87 -2.01 0.33 0.66 -0.26 0.08 -0.23 0.01 0.51 -0.04 -0.25 0.18 0.05 0.25 0.01 0.69 8.32 1.99 -10.12 14.35 7.62 -12.38 -21.50 0.36 -3.64
7.00 0.02 -0.01 -5.45 -1.62 0.34 0.52 -0.24 0.06 -0.18 0.01 0.40 -0.03 -0.20 0.14 0.04 0.21 0.00 0.44 6.57 1.71 -8.01 11.28 6.07 -9.82 -16.97 0.30 -2.91
7.20 0.02 -0.01 -4.31 -1.29 0.31 0.41 -0.21 0.04 -0.14 0.01 0.31 -0.02 -0.15 0.11 0.04 0.15 0.00 0.26 5.18 1.47 -6.32 8.86 4.82 -7.76 -13.35 0.25 -2.33
7.40 0.00 0.00 -3.40 -1.03 0.27 0.32 -0.17 0.03 -0.11 0.00 0.24 -0.02 -0.12 0.08 0.03 0.13 0.00 0.14 4.07 1.26 -4.96 6.94 3.82 -6.12 -10.46 0.20 -1.87
7.60 0.00 0.00 -2.66 -0.81 0.24 0.25 -0.15 0.03 -0.09 0.00 0.18 -0.01 -0.10 0.06 0.02 0.09 0.00 0.05 3.19 1.07 -3.88 5.42 3.01 -4.81 -8.18 0.16 -1.48
7.80 0.00 0.00 -2.08 -0.64 0.22 0.19 -0.12 0.02 -0.07 0.00 0.15 -0.01 -0.08 0.05 0.02 0.08 0.00 0.00 2.49 0.93 -3.03 4.22 2.37 -3.77 -6.37 0.13 -1.17
8.00 0.00 0.00 -1.63 -0.51 0.18 0.15 -0.10 0.02 -0.05 0.00 0.12 -0.01 -0.06 0.04 0.01 0.06 0.00 -0.03 1.94 0.78 -2.36 3.29 1.85 -2.95 -4.94 0.11 -0.92
8.20 0.00 0.00 -1.27 -0.40 0.15 0.12 -0.08 0.01 -0.04 0.00 0.09 -0.01 -0.05 0.03 0.01 0.05 0.00 0.08 1.49 0.45 -1.83 2.56 1.53 -2.30 -3.80 0.08 -0.73
8.40 0.00 0.00 -0.97 -0.31 0.12 0.09 -0.07 0.01 -0.03 0.00 0.07 -0.01 -0.04 0.02 0.01 0.04 0.00 0.04 1.15 0.39 -1.41 1.99 1.19 -1.78 -2.92 0.07 -0.57
8.60 0.00 0.00 -0.76 -0.24 0.11 0.07 -0.06 0.01 -0.02 0.00 0.05 -0.01 -0.03 0.02 0.01 0.03 0.00 0.02 0.89 0.33 -1.08 1.53 0.92 -1.37 -2.25 0.06 -0.45
8.80 0.00 0.00 -0.58 -0.19 0.09 0.05 -0.05 0.00 -0.01 0.00 0.04 -0.00 -0.02 0.02 0.01 0.02 0.00 -0.00 0.67 0.28 -0.82 1.18 0.70 -1.06 -1.72 0.04 -0.35
9.00 0.00 0.00 -0.45 -0.14 0.07 0.04 -0.03 0.00 -0.02 0.00 0.03 -0.00 -0.02 0.01 0.00 0.01 0.00 -0.01 0.51 0.24 -0.63 0.90 0.53 -0.82 -1.31 0.03 -0.27
9.20 0.00 0.00 -0.34 -0.11 0.06 0.03 -0.03 0.00 -0.01 0.00 0.02 -0.00 -0.01 0.01 0.00 0.01 0.00 -0.02 0.38 0.20 -0.48 0.66 0.41 -0.61 -0.97 0.02 -0.19
9.40 0.00 0.00 -0.26 -0.08 0.05 0.02 -0.02 0.00 -0.01 0.00 0.02 -0.00 -0.01 0.01 0.00 0.01 0.00 -0.07 0.29 0.23 -0.36 0.50 0.28 -0.46 -0.72 0.02 -0.14
9.60 0.00 0.00 -0.19 -0.06 0.04 0.02 -0.02 0.00 -0.01 0.00 0.02 -0.00 -0.01 0.01 0.00 0.01 -0.00 -0.07 0.22 0.20 -0.26 0.36 0.20 -0.34 -0.54 0.01 -0.11
9.80 -0.00 -0.00 -0.14 -0.04 0.02 0.01 -0.01 0.00 -0.01 0.00 0.01 0.00 -0.01 -0.00 0.00 0.00 0.00 -0.07 0.16 0.17 -0.19 0.27 0.14 -0.25 -0.39 0.01 -0.07
10.00 -0.00 0.00 -0.10 -0.03 0.03 0.01 -0.01 0.01 -0.01 0.00 0.01 0.00 -0.00 0.00 -0.00 -0.01 -0.00 -0.06 0.11 0.15 -0.13 0.19 0.09 -0.17 -0.28 0.01 -0.05
10.50 -0.00 0.00 -0.04 -0.01 0.01 0.00 -0.01 -0.00 0.00 0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 -0.00 -0.05 0.04 0.10 -0.04 0.07 0.01 -0.06 -0.10 0.00 -0.02
11.00 -0.00 0.00 -0.00 -0.00 0.00 0.00 -0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 -0.00 -0.00 0.00 -0.00 0.00 0.00 0.00 -0.00 0.00 0.00 0.00
