R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<2|V|3> Re<2|V|4> Re<3|V|4>
4.50 0.40 0.31 -0.47 -0.22 -12.54 -50.05 -100.03 98.30 65.00 29.20
4.60 0.33 0.26 -0.41 -0.18 -16.40 -48.65 -99.99 89.23 62.47 36.75
4.70 0.28 0.22 -0.35 -0.14 -19.25 -46.84 -98.93 80.80 59.78 42.36
4.80 0.24 0.19 -0.30 -0.12 -21.18 -44.71 -96.94 73.02 56.98 46.22
4.90 0.20 0.15 -0.26 -0.09 -22.34 -42.36 -94.15 65.87 54.07 48.54
5.00 0.16 0.13 -0.22 -0.08 -22.87 -39.82 -90.71 59.25 51.04 49.69
5.10 0.15 0.11 -0.18 -0.06 -22.85 -37.20 -86.74 53.24 48.01 49.71
5.20 0.12 0.08 -0.15 -0.04 -22.43 -34.55 -82.36 47.76 44.96 48.90
5.30 0.10 0.08 -0.13 -0.03 -21.69 -31.92 -77.72 42.79 41.92 47.43
5.40 0.08 0.07 -0.12 -0.03 -20.73 -29.35 -72.92 38.24 38.90 45.49
5.50 0.07 0.06 -0.09 -0.02 -19.60 -26.89 -68.06 34.18 35.97 43.18
5.60 0.06 0.05 -0.07 -0.02 -18.38 -24.53 -63.22 30.51 33.15 40.65
5.70 0.04 0.03 -0.07 -0.01 -17.10 -22.31 -58.46 27.21 30.45 37.98
5.80 0.04 0.02 -0.05 -0.00 -15.81 -20.23 -53.85 24.26 27.87 35.27
5.90 0.04 0.02 -0.05 -0.00 -14.56 -18.31 -49.42 21.60 25.44 32.57
6.00 0.03 0.02 -0.02 0.00 -13.32 -16.52 -45.21 19.26 23.17 29.93
6.20 0.01 0.01 -0.03 -0.00 -11.03 -13.37 -37.50 15.24 19.06 24.99
6.40 0.01 -0.01 -0.01 0.00 -9.07 -10.79 -30.82 12.06 15.53 20.49
6.60 0.00 -0.00 -0.01 0.01 -7.32 -8.62 -25.09 9.53 12.56 16.71
6.80 0.00 -0.00 -0.01 0.01 -5.86 -6.86 -20.25 7.53 10.11 13.50
7.00 0.00 0.00 0.00 -0.00 -4.65 -5.44 -16.26 5.94 8.09 10.82
7.20 0.00 0.00 0.00 -0.00 -3.68 -4.30 -12.98 4.67 6.44 8.61
7.40 0.00 0.00 0.00 -0.00 -2.88 -3.39 -10.31 3.68 5.12 6.82
7.60 0.00 0.00 0.00 -0.00 -1.99 -2.55 -7.97 3.03 4.26 5.44
7.80 0.00 0.00 0.00 -0.00 -1.55 -1.98 -6.27 2.39 3.36 4.25
8.00 0.00 0.00 0.00 -0.00 -1.20 -1.54 -4.91 1.89 2.64 3.30
8.20 0.00 0.00 0.00 -0.00 -0.92 -1.21 -3.83 1.35 1.95 2.67
8.40 0.00 0.00 0.00 -0.00 -0.72 -0.93 -2.98 1.06 1.52 2.06
8.60 0.00 0.00 0.00 -0.00 -0.54 -0.72 -2.31 0.83 1.18 1.56
8.80 0.00 0.00 0.00 -0.00 -0.41 -0.55 -1.77 0.66 0.93 1.17
9.00 0.00 0.00 0.00 -0.00 -0.31 -0.42 -1.36 0.53 0.73 0.87
9.20 0.00 0.00 0.00 -0.00 -0.22 -0.31 -1.03 0.43 0.57 0.63
9.40 0.00 0.00 0.00 -0.00 -0.17 -0.23 -0.77 0.32 0.43 0.46
9.60 0.00 0.00 0.00 -0.00 -0.12 -0.19 -0.58 0.27 0.34 0.32
9.80 0.00 0.00 0.00 -0.00 -0.09 -0.13 -0.42 0.22 0.26 0.20
10.00 0.00 0.00 0.00 -0.00 -0.06 -0.09 -0.30 0.18 0.21 0.13
10.50 0.00 0.00 0.00 -0.00 -0.02 -0.03 -0.11 0.07 0.06 0.04
11.00 0.00 0.00 0.00 -0.00 0.00 -0.00 -0.00 -0.00 -0.00 0.00
