R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<2|V|3>	Re<2|V|4>
7.2	0.46	-5.71	1.13	8.11	-2.92	11.41	3.22	1.08	3.29
7.4	0.24	-4.49	0.97	6.37	-2.29	9.03	2.54	0.85	2.69
7.6	0.09	-3.52	0.83	4.99	-1.79	7.13	2	0.66	2.17
7.8	0	-2.74	0.71	3.89	-1.39	5.61	1.57	0.52	1.75
8	-0.06	-2.14	0.6	3.03	-1.09	4.39	1.23	0.4	1.41
8.2	0.14	-1.65	0.35	2.34	-0.85	3.63	0.95	0.31	1.12
8.4	0.07	-1.27	0.3	1.81	-0.66	2.82	0.74	0.24	0.92
8.6	0.03	-0.98	0.26	1.39	-0.5	2.17	0.57	0.18	0.74
8.8	0	-0.74	0.22	1.06	-0.39	1.67	0.44	0.14	0.57
9	-0.02	-0.57	0.18	0.81	-0.3	1.26	0.34	0.11	0.44
9.2	-0.03	-0.42	0.16	0.61	-0.22	0.97	0.25	0.08	0.33
9.4	-0.12	-0.32	0.18	0.46	-0.16	0.66	0.19	0.06	0.22
9.6	-0.12	-0.24	0.16	0.33	-0.12	0.47	0.14	0.04	0.15
9.8	-0.12	-0.17	0.13	0.25	-0.09	0.32	0.1	0.03	0.1
10	-0.11	-0.13	0.12	0.17	-0.06	0.2	0.07	0.02	0.07
10.5	-0.09	-0.04	0.08	0.06	-0.02	0.02	0.02	0.01	0.06
11	0	0	0	0	0	0	0	0	0
